id,filename,fault_type,fault_size,load,rpm,clock_pos,data_key,samples,path
200,200.mat,OR,0.014,3,1723.0,6:00,X200_DE_time,121991,/home/zoso/Codes/dataset/datasets/outer/200.mat
234,234.mat,OR,0.021,0,1796.0,6:00,X234_DE_time,122426,/home/zoso/Codes/dataset/datasets/outer/234.mat
258,258.mat,OR,0.021,0,1796.0,12:00,X258_DE_time,121846,/home/zoso/Codes/dataset/datasets/outer/258.mat
246,246.mat,OR,0.021,0,1796.0,3:00,X246_DE_time,121701,/home/zoso/Codes/dataset/datasets/outer/246.mat
259,259.mat,OR,0.021,1,1771.0,12:00,X259_DE_time,122426,/home/zoso/Codes/dataset/datasets/outer/259.mat
247,247.mat,OR,0.021,1,1771.0,3:00,X247_DE_time,121991,/home/zoso/Codes/dataset/datasets/outer/247.mat
235,235.mat,OR,0.021,1,1771.0,6:00,X235_DE_time,121991,/home/zoso/Codes/dataset/datasets/outer/235.mat
236,236.mat,OR,0.021,2,1748.0,6:00,X236_DE_time,122281,/home/zoso/Codes/dataset/datasets/outer/236.mat
260,260.mat,OR,0.021,2,1746.0,12:00,X260_DE_time,122716,/home/zoso/Codes/dataset/datasets/outer/260.mat
248,248.mat,OR,0.021,2,1747.0,3:00,X248_DE_time,122281,/home/zoso/Codes/dataset/datasets/outer/248.mat
237,237.mat,OR,0.021,3,1721.0,6:00,X237_DE_time,121991,/home/zoso/Codes/dataset/datasets/outer/237.mat
261,261.mat,OR,0.021,3,1718.0,12:00,X261_DE_time,121701,/home/zoso/Codes/dataset/datasets/outer/261.mat
249,249.mat,OR,0.021,3,1719.0,3:00,X249_DE_time,122136,/home/zoso/Codes/dataset/datasets/outer/249.mat
